feedback_id,date,location,feedback
FB0013,2026-07-29,Library,The new self-checkout kiosk for borrowing books is fast and very convenient.
FB0048,2026-07-30,Parking Area,Security guards at the parking entrance are attentive and check IDs properly.
FB0010,2026-08-03,Computer Laboratory,The lab technician replaced our mouse and keyboard right away when I reported the issue.
FB0031,2026-08-03,Wi-Fi Areas,The IT department upgraded the Wi-Fi routers and the connection is much more stable now.
FB0030,2026-08-05,Classroom,"The classroom chairs are broken and uncomfortable, some have loose screws."
FB0049,2026-08-07,Student Lounge,"Trash isn't collected often enough in the lounge, bins overflow by midday."
FB0020,2026-08-08,Classroom,The air conditioning unit makes a loud rattling noise that distracts during lectures.
FB0058,2026-08-08,Cafeteria,The cafeteria added self-service water stations which is a nice convenient touch.
FB0051,2026-08-10,Computer Laboratory,"Air conditioning in the computer lab is excellent, keeps the equipment and students cool."
FB0019,2026-08-11,Campus Entrance,The entrance was recently repainted and looks much more welcoming now.
FB0005,2026-08-12,Cafeteria,"Lines at the cafeteria during lunch hour are extremely long, sometimes over 30 minutes."
FB0023,2026-08-14,Wi-Fi Areas,Too many students on the same Wi-Fi network causes it to slow down significantly.
FB0025,2026-08-14,Wi-Fi Areas,"Connection near the gymnasium is nonexistent, we can't access online resources there."
FB0043,2026-08-16,Computer Laboratory,The lab is well-maintained and the seats are comfortable for long programming sessions.
FB0047,2026-08-16,Library,"There aren't enough charging stations for laptops in the library, especially near exam week."
FB0038,2026-08-20,Classroom,"Lighting in the classroom is dim, making it hard to read slides from the back row."
FB0012,2026-08-22,Parking Area,New parking lines and signage make it much easier to find a spot now.
FB0009,2026-08-23,Student Lounge,The redesigned student lounge with bean bags and plants feels very inviting.
FB0041,2026-08-27,Parking Area,"Parking area is full by 8am, students have to park far off campus and walk in."
FB0054,2026-08-27,Computer Laboratory,"Internet connection in the computer lab drops constantly, especially during peak hours."
FB0057,2026-08-27,Wi-Fi Areas,Wi-Fi in the dormitory areas is unreliable especially in the evening.
FB0006,2026-08-31,Classroom,"Acoustics in the lecture hall are poor, it's hard to hear the professor from the back."
FB0055,2026-09-01,Campus Entrance,"Traffic flow at the entrance is chaotic, tricycles and cars block each other constantly."
FB0018,2026-09-04,Student Lounge,Wi-Fi signal in the student lounge is weak compared to other parts of campus.
FB0022,2026-09-04,Parking Area,"Lighting in the parking area at night is very dim, feels unsafe walking to the car."
FB0033,2026-09-05,Wi-Fi Areas,Wi-Fi coverage doesn't reach the outdoor benches near the quadrangle at all.
FB0059,2026-09-05,Restroom,Restroom on the third floor has a broken faucet that has been leaking for days.
FB0040,2026-09-10,Classroom,New whiteboards installed in the building are a huge improvement for lectures.
FB0035,2026-09-19,Student Lounge,"The student lounge sofas are torn and worn out, they need replacement."
FB0052,2026-09-19,Classroom,"Classroom is too small for the number of students enrolled, we barely have space."
